;brouette;;;;;;;brouette (1);;;;;;;brouette (2);;;;;;
;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid;TX;TY;TZ;RX;RY;RZ;Valid
2,862000;-61,821072;102,574760;2280,882568;3,646634;1,612386;5,642728;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,897000;-61,819344;102,579124;2280,878662;3,654017;1,676128;5,636538;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,931000;-61,818619;102,577515;2280,864502;3,691797;1,720614;5,641429;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2,966000;-61,824665;102,573441;2280,904297;3,666394;1,643160;5,652294;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,000000;-61,824970;102,577187;2280,885986;3,635107;1,709457;5,644124;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,034000;-61,881874;102,637917;2280,867432;3,676644;1,667341;5,627531;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,069000;-62,029465;102,831825;2280,893555;3,626039;1,655274;5,637339;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,103000;-62,233845;103,090088;2280,895020;3,539940;1,641805;5,640682;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,138000;-62,481236;103,262077;2280,903809;3,495401;1,667457;5,655038;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,172000;-62,677547;103,216270;2280,924316;3,414331;1,703449;5,645343;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,207000;-62,883682;103,108551;2280,975098;3,525311;1,677169;5,658391;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,241000;-63,093742;103,097519;2280,993408;3,476829;1,680642;5,659197;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,276000;-63,309402;103,098503;2280,986084;3,556527;1,571614;5,665407;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,310000;-63,524406;102,992523;2280,928955;3,475094;1,633808;5,647337;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,345000;-63,712040;102,925606;2280,907227;3,547088;1,607257;5,661370;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,379000;-63,926292;102,987572;2280,918457;3,409175;1,591120;5,657824;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,414000;-64,132813;102,967651;2280,906738;3,421273;1,686999;5,646204;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,448000;-64,335747;102,858788;2280,911377;3,418912;1,686610;5,635845;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,483000;-64,557762;102,869675;2280,924316;3,545350;1,628498;5,641335;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,517000;-64,772667;102,921913;2280,914307;3,492741;1,666473;5,646784;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,552000;-64,987328;102,852226;2280,920410;3,397547;1,729116;5,645157;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,586000;-65,177673;102,760216;2280,893555;3,330315;1,800867;5,639948;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,621000;-65,388634;102,834900;2280,910400;3,307599;1,905540;5,639226;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,655000;-65,605026;102,886665;2280,912598;3,249810;1,830752;5,643697;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,690000;-65,801323;102,788193;2280,905029;3,296910;1,756689;5,647914;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,724000;-66,011650;102,748787;2280,873291;3,378165;1,724702;5,652153;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,759000;-66,225540;102,841377;2280,863525;3,339299;1,838392;5,645981;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,793000;-66,438332;102,842674;2280,853760;3,291335;1,798375;5,646575;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,828000;-66,643005;102,744705;2280,843750;3,390485;1,842325;5,649279;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,862000;-66,842239;102,746269;2280,883301;3,515831;1,752739;5,632893;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,897000;-67,067192;102,832558;2280,870605;3,593131;1,710459;5,645450;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,931000;-67,254898;102,810539;2280,849121;3,636304;1,749083;5,642901;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3,966000;-67,463234;102,731583;2280,824951;3,585238;1,639659;5,655930;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4,000000;-67,667030;102,750862;2280,842529;3,527673;1,833470;5,646552;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
